Matrix size;Block size;Phase;Algorithm;Time(s)
1536;2;2;zor;42.265933
1536;3;2;zor;34.915670
1536;4;2;zor;32.803226
1536;6;2;zor;29.070621
1536;8;2;zor;28.644894
1536;12;2;zor;27.239924
1536;16;2;zor;26.550351
1536;24;2;zor;26.090734
1536;32;2;zor;27.111820
1536;48;2;zor;25.891885
1536;64;2;zor;26.886478
1536;96;2;zor;28.361970
1536;128;2;zor;28.159805
1536;192;2;zor;28.109158
1536;256;2;zor;28.115341
1536;384;2;zor;28.590297
1536;512;2;zor;32.464545
1536;768;2;zor;34.305187
1536;1536;2;zor;47.905871
2;-;3;row;0.000020
2;-;3;col;0.000016
2;1;3;zor;0.000016
2;2;3;zor;0.000015
4;-;3;row;0.000019
4;-;3;col;0.000020
4;1;3;zor;0.000019
4;2;3;zor;0.000021
4;4;3;zor;0.000017
8;-;3;row;0.000023
8;-;3;col;0.000022
8;1;3;zor;0.000035
8;2;3;zor;0.000027
8;4;3;zor;0.000029
8;8;3;zor;0.000023
16;-;3;row;0.000054
16;-;3;col;0.000054
16;1;3;zor;0.000085
16;2;3;zor;0.000066
16;4;3;zor;0.000058
16;8;3;zor;0.000055
16;16;3;zor;0.000054
32;-;3;row;0.000260
32;-;3;col;0.000260
32;1;3;zor;0.000506
32;2;3;zor;0.000339
32;4;3;zor;0.000306
32;8;3;zor;0.000285
32;16;3;zor;0.000279
32;32;3;zor;0.000292
64;-;3;row;0.001757
64;-;3;col;0.001791
64;1;3;zor;0.003653
64;2;3;zor;0.002407
64;4;3;zor;0.002182
64;8;3;zor;0.002022
64;16;3;zor;0.001924
64;32;3;zor;0.002010
64;64;3;zor;0.001872
128;-;3;row;0.013322
128;-;3;col;0.012437
128;1;3;zor;0.025433
128;2;3;zor;0.017662
128;4;3;zor;0.014264
128;8;3;zor;0.012881
128;16;3;zor;0.012768
128;32;3;zor;0.013401
128;64;3;zor;0.012547
128;128;3;zor;0.013096
256;-;3;row;0.092859
256;-;3;col;0.093168
256;1;3;zor;0.199957
256;2;3;zor;0.129188
256;4;3;zor;0.109019
